,count,Outcome Measures
1039,1,"Changes of oxygenation index (PaO2/FiO2) ,blood gas test|Detection of TNF-α levels, IL-10 levels|Detection of immune cells that secret cytokines, including CXCR3+, CD4+, CD8+, NK+ cells, and regulatory T cells (CD4 + CD25 + FOXP3 + Treg cells).|Changes of c-reactive protein and calcitonin"
1040,1,"Incidence of adverse events|Clinical remission (proteinuria, hematuria)|Proteinuria|Hematuria|Estimated glomerular filtration rate (eGFR)"
1041,1,Measure of safety one month after first infusion (adverse events)|Measure of safety one month after second infusion (adverse events)|Change in modified Rodnan skin score (mRss) between Month 0 and Month 12
1042,1,Treatment-related serious adverse events (tSAEs)|Change in clinical status at day 14
1043,1,"Changes of oxygenation index (PaO2/FiO2)|Side effects in the BM-MSCs treatment group|Clinical outcome|Hospital stay|CT Scan|Changes in viral load|Changes of CD4+, CD8+ cells count and concentration of cytokines|Rate of mortality within 28-days|Changes of C-reactive protein"
1044,1,The incidence and frequency of adverse events related to administration of UMC119-06.|Changes in mortality status|Ventilator Free Days (VFD)|Change in Oxygenation Index (OI)|Change in Lung Injury Score (LIS)|Change in positive end-expiratory pressure (PEEP)|Change in Lung Static Compliance|Change in acute physiology and chronic health evaluation score (APACHE II)
1045,1,Incidence of hospitalization for COVID-19|Incidence of symptoms associated with COVID-19|Absence of upper/lower respiratory infection|Leukocyte differential|C Reactive protein|TNF alpha|IL-6|IL-10|Glucose|Calcium|Albumin|Total protein|Sodium|Total carbon dioxide|Potassium|Chloride|BUN|Creatinine|Alkaline phosphatase|Alanine aminotransferase|Total bilirubin|white blood cells|red blood cells|hemoglobin|hematocrit|mean corpuscular volume|mean corpuscular hemoglobin|mean corpuscular hemoglobin concentration|red cell distribution width|neutrophils|Lymphs|Monocytes|Eosinophils|Basophils|Absolute neutrophils|Absolute lymphs|Absolute monocytes|Absolute eosinophils|Absolute basophils|Immature granulocytes|Platelets|Prothrombin time|INR|SF-36|PHQ-9
1046,1,Efficacy of the administration of allogeneic mesenchymal stem cells derived from adipose tissue assessed by Survival Rate)|Safety of the administration of allogeneic mesenchymal stem cells derived from adipose tissue assessed by Adverse Event Rate
1047,1,Percentage of Dose-Limiting Toxicities (DLTs)|Percentage of Adverse Events (AEs)|Percentage of Serious Adverse Events (SAEs)|Maximum Tolerated Dose (MTD) of ONCR-177|Recommended Phase 2 Dose (RP2D) of ONCR-177|Percentage of Objective Response Rate (ORR)|Durable Response Rate (DRR)|Progression Free Survival (PFS)|Overall Survival (OS)|Incidence and rate of detection of ONCR-177|Changes in the level of HSV-1 antibodies compared to baseline
1048,1,Incidence of hospitalization for COVID-19|Incidence of symptoms for COVID-19|absence of upper/lower respiratory infection|Glucose|Calcium|Albumin|Total Protein|Sodium|Total carbon dioxide|Potassium|Chloride|BUN|Creatinine|Alkaline phosphatase|Alanine aminotransferase|Aspartate aminotransferase|Total bilirubin|White blood cells|Red blood cells|Hemoglobin|Hematocrit|Mean corpuscular volume|Mean corpuscular hemoglobin|Mean corpuscular hemoglobin concentration|Red cell distribution width|Neutrophils|Lymphs|Monocytes|Eos|Basophils|Absolute neutrophils|Absolute lymphs|Absolute monocytes|Absolute eosinophils|Absolute basophils|Immature granulocytes|Absolute Immature granulocytes|Platelets|Prothrombin time|INR|TNFalpha|Interleukin-6|Interleukin-10|C-reactive protein|SF-36|PHQ-9
1049,1,knee pain assessed by Visual Analogue Scale.|knee function assessed by WOMAC (Wester Ontario McMaster Osteoarthritis Index). quosteionary.|Quantitative T2-Mapping Evaluation of Changes in Cartilage Matrix
1050,1,Safety - Incidence of unexpected adverse events|Efficacy - Frequency of progression to mechanical ventilation|Efficacy - Changes in length of mechanical ventilation|Efficacy - Changes in length of weaning of mechanical ventilation|Efficacy - Changes in length of hospital stay|Efficacy - Changes in mortality rate
1051,1,"Number of Participants With Pre-Specified Infusion Associated Adverse Events|Number of Subjects With Serious Adverse Events by 31 Days After First Infusion|Percentage of Participants Experiencing Serious Adverse Events (SAEs) Through Study Day 90|Number of Adverse Events (AEs) and Serious Adverse Events (SAEs)|Number of Adverse Events (AEs) and Serious Adverse Events (SAEs) by Severity|Subjects With Adverse Events and Serious Adverse Events by Severity|Number of Adverse Events and Serious Adverse Events by Relatedness to Treatment|Subjects With Adverse Events by Relatedness to Treatment|Survival at 31 Days Post First Infusion|Survival at 60 Days Post First Infusion|Time to Recovery|Ventilator-Free Days Throughout 28 Days Post Second Infusion|Ventilator-Free Days Throughout 90 Days|Respiratory Rate and Oxygenation Index (ROX Index)|Oxygenation Index (OI)|Positive End-Expiratory Pressure (PEEP) and Plateau Pressure (Pplat)|Sequential Organ Failure Assessment (SOFA) Scores|Smell Identification Test (SIT) Scores|White Blood Cell Count (WBC)|Platelets Count|Hemogoblin|Hematocrit|Neutrophils|Lymphocytes|Glomerular Filtration Rate|Total Protein|Sodium|Potassium|Creatinine|Glucose|Albumin|Alkaline Phosphatase|Alanine Aminotransferase or Serum Glutamate-pyruvate Transaminase (ALT or SGPT)|Aspartate Aminotransferase or Serum Glutamic Oxaloacetic Transaminase (AST or SGOT)|Total Bilirubin|Blood Urea Nitrogen (BUN)|Calcium|Chloride|Carbon Dioxide (CO2)|C-Reactive Protein Levels|Arachidonic Acid/Eicosapentaenoic Acid (AA/EPA) Ratio|D-dimer Levels|25-Hydroxy Vitamin D Levels|Tumor Necrosis Factor-alpha (TNFα)|Tumor Necrosis Factor-beta (TNFβ)|Soluble Tumor Necrosis Factor Receptor 2 (sTNFR2)|Viral Load by SARS-CoV-2 RT-PCR|Number of Participants Reporting Panel Reactive Antibody (PRA) Positivity at Day 3 Post First Infusion|Number of Participants Reporting Panel Reactive Antibody (PRA) Positivity at Day 6 Post First Infusion|Number of Participants Reporting Panel Reactive Antibody (PRA) Positivity at Day 14 Post First Infusion|Number of Participants With Positive, Negative, or Borderline Serology Testing for SARS-CoV-2 IgM/IgG"
1052,1,survival after intervention|sequential organ failure assessment score|interleukin-6|The number of allergic reactions|The number of people who get cancer|the effects on kidney function|the effects on liver function|the effects on lung function|the effects on coagulation function|the effects on central nervous system
1053,1,Number of all-cause mortality|Number of days alive off mechanical ventilatory support|Number of adverse events|Number of participants alive at day 7|Number of participants alive at day 14|Number of participants alive at day 60|Number of participants alive at day 90|Number of participants alive at 12 Months|Number of participants with resolution and/or improvement of ARDS|Severity of ARDS|Length of stay|Readmissions|Length of Stay in Intensive Care Unit|Clinical Improvement Scale|Change in plasma hs-CRP concentration|Change in serum hs-CRP concentration|Change in IL-6 inflammatory marker level|Change in IL-8 inflammatory marker level|Change in TNF-alpha inflammatory marker level|Pulmonary symptoms
1054,1,Child Pugh Score|Examination of liver function|MELD Score
1055,1,Correlation of the ExoDx Prostate test results with the outcome of prostate biopsies in a prior negative repeat biopsy patient cohort.
1056,1,Proportion of patients who have achieved withdrawal of invasive mechanical ventilation|Rate of mortality|Proportion of patients who have achieved clinical response|Proportion of patients who have achieved radiological responses
1057,1,Interleukin-6|C Reactive protein|Oxygenation|TNF alpha|IL-10|Return to room air (RTRA)|EKG qt interval|Leukocyte differential|Glucose|Calcium|Albumin|Total protein|Sodium|Total carbon dioxide|Potassium|Chloride|BUN|Creatinine|Alkaline phosphatase|Alanine aminotransferase|Total bilirubin|White blood cells|Red blood cells|Hemoglobin|Hematocrit|Mean corpuscular volume|Mean corpuscular hemoglobin|Mean corpuscular hemoglobin concentration|Red cell distribution width|Neutrophils|Lymphs|Monocytes|Eosinophils|Basophils|Absolute neutrophils|Absolute lymphs|Absolute monocytes|Absolute eosinophils|Absolute basophils|Immature granulocytes|Platelets|Prothrombin time|INR|NK cell surface antigen (CD3-CD54+)|CD4+/CD8+ ratio|Myoglobin|Troponin|Creatinine kinase MB|Serum ferritin|Adverse events|7-point ordinal scale|D-dimer|Chest X-ray|CT scan|PCR test for SARS-CoV-2
1058,1,Number of participants with Dose Limiting Toxicity Events|The time in days from the 1st FT516 infusion to the elimination of viral shedding in nasal pharyngeal and stool samples|The time in days from the 1st FT516 infusion to discontinued need for supplemental oxygen|The time in days from the 1st FT516 infusion to hospital discharge
1059,1,Objective response rate (ORR)|Safety and tolerability of the combination of AB-16B5 and docetaxel: number of subjects with an adverse event|Clinical benefit rate (CBR)|Duration of response (complete response and partial response)|Duration of stable disease|Progression free survival (PFS)|Overall survival (OS)|Determination of plasma concentrations of AB-16B5
1060,1,Adverse events assessment|Blood oxygen saturation|Intensive care unit-free days|Clinical symptoms|Respiratory efficacy|Biomarkers concentrations in plasma
1061,1,Mortality due to lung involvement due to SARS-CoV-2 virus infection at 28 days of treatment|Mortality due to lung involvement due to SARS-CoV-2 virus infection at 14 days of treatment|Mortality from any cause at 28 days|Days without mechanical respirator and without vasopressor treatment for 28 days|Patients alive without mechanical ventilation and without vasopressors on day 28|Patients alive and without mechanical ventilation on day 14|Patients alive and without mechanical ventilation on day 28|Patients alive and without vasopressors on day 28|Days without vasopressors for 28 days|Patients cured at 15 days|Incidence of Treatment-Emergent Adverse Events
1062,1,Safety of the administration of allogeneic mesenchymal stem cells derived from adipose tissue assessed by Adverse Event Rate|Efficacy of the administration of allogeneic mesenchymal stem cells derived from adipose tissue assessed by Survival Rate
1063,1,Western Ontario and McMaster Universities Arthritis Index (WOMAC) function Score|Visual Analog Scale (VAS) score|Western Ontario and McMaster Universities Arthritis Index (WOMAC) subscale (Function)|Western Ontario and McMaster Universities Arthritis Index (WOMAC) subscale (Pain)|Total Western Ontario and McMaster Universities Arthritis Index (WOMAC) score|International Knee Documentation Committee (IKDC) score|36-Item Short Form health survey questionnaires (SF-36) score|Structural changes in knee joint|Kellgren-Lawrence grade|Number and amount of rescue medication use
1064,1,Signal to Noise Quotient|Side to side difference in anterior tibial translation|Patient reported outcomes- Tegner Score|Patient reported outcomes- Knee Injury and Osteoarthritis Outcome Score for Joint Replacement (KOOS Jr)|Patient reported outcomes- International Knee Documentation Committee (IKDC) Score
1065,1,Changes in the ulcer area from baseline to eight weeks|Pain change
1066,1,"Number of subjects with adverse events (AE), including serious adverse events (SAEs).|Determining dose limiting toxicities (DLT) and optimally tolerated dose range|Evaluation of persistence of genetically modified T cells.|Measurement of RCL in genetically modified T cells.|Proportion of subjects with a confirmed Complete Response (CR) and/or Partial Response (PR).|Interval between the date of first T cell infusion dose and first documented evidence of CR or PR.|Interval between the date of first documented evidence of CR or PR until first documented disease progression or death due to any cause.|Interval between the date of first documented evidence of stable disease (SD) until first documented disease progression or death due to any cause.|Interval between the date of first T cell infusion and the earliest date of disease, progression or death due to any cause|Interval between the date of first T cell infusion and date of death due to any cause.|Number and % of subjects having any Long Term Follow Up Adverse Events (AEs)"
1067,1,Safety and tolerability
1068,1,"Change from baseline Brain-Derived Neutrophic Factor at one month, 3 months and 6 months after transplantation|Change from baseline Vascular endothelial growth factor at one month, 3 months and 6 months after transplantation|Change baseline Magnetic Resonance Imaging at 6 month after transplantation|The National Institute of Health Stroke Scale (NIHSS) Scoring|modified Rankin Scale (mRS)"
1069,1,1) Adverse reaction and serious adverse reaction evaluation 2) laboratory inspection 3) Vital signs 4) Biochemical examination 5) Lumbar MRI 6) Monitoring systemic infection|Confirmation of the degree of pain improvement in VAS|Confirmation of the degree of improvement in disability (ODI)|Confirmation of increase in water content in the nucleus using MRI
1070,1,Recording of Adverse Events and Serious Adverse Events|International Knee Documentation Committee (IKDC) score|Knee Injury and Osteoarthritis Outcome Score (KOOS)|Visual Analog Score (VAS)|Magnetic resonance imaging (MRI)|Immunohistochemistry (IHC)
1071,1,Safety (adverse events)|Efficacy: skin score|Efficacy: Forced vital capacity (FVC)
1072,1,Safety (adverse events)|Efficacy: Forced vital capacity (FVC)|Efficacy: Oxygen saturation test
1073,1,Safety of AdMSC injection will be evaluated by assessment of the frequency and nature of adverse events occurring during the study based on the rate of all AdMSC-associated adverse events (AEs) in all subjects.|Safety for AdMSCs based upon incidence of all AEs|Compare the mortality rate|Recognized immune measurements evaluating patients' symptom changes and overall function|Organ functional tests including blood specific enzymes and proteins|Duration (days) of weaning from mechanical ventilation|Duration (days) of ICU monitoring|Duration (days) of vasoactive agent's usage|Duration of hospitalization (days)|Proportions of SARS-CoV-2 RT-PCR change to negative from respiratory tract specimens (oropharyngeal swabs) using CDC standard method|Proportions of quantifying viral RNA in stool change to negative in final follow-up using CDC standard method|Proportions of blood SARS-CoV-2 antibodies IgM/IgG show positive
1074,1,improvement in Visual Analogue Scale|improvement in Oswestry Disability Index|Change in the T score (lumbar spine and femoral neck) of dual-energy x-ray absorptiometry|Presence of new vertebral fracture|Change in the bone mineral density (computed tomography) of fractured vertebrae
1075,1,Safety (adverse events)|Efficacy: creatinine levels|Efficacy: changes in eGFR
1076,1,Adverse reactions incidence|Time to clinical improvement|Assessment of serum CRP (mg/L) levels|Assessment of serum LDH (U/L) levels|Assessment of serum Ferritin (ng/ml) levels|Assessment of serum D-dimer (microgr/ml) levels|Immunological changes on CD4+ T and CD8+ T|Lung Involvement|Changes in Inflammatory cytokine IL 6|Changes in anti-Inflammatory cytokine IL10
1077,1,Efficacy-Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC) assessment|Efficacy-Visual Analogue Scale (VAS) assessment|Efficacy-SF-36 Quality of Life (QoL) health survey questionnaire|Efficacy-Whole-Organ Magnetic Resonance Imaging Score (WORMS)|Efficacy-knee joint space width (JSW)|Efficacy-synovial fluid|Efficacy-rescue medication|Safety-AE/SAE based on NCI-CTCAE v5.0|Safety-vital signs|Safety-laboratory examination|Safety-physical examination
1078,1,The type and content of circulating exosomes|Modified Rankin scale (mRS) scores|mortality|hospital stay
1079,1,Change in number of adverse events and severe adverse events post-intervention|Number of grade ≥3 adverse reaction attributable to the γMSC product|Change in lung function test|In- vivo trafficking of MSCs after intravenous infusion|Upper airway inflammation of MSC treatment|Circulating inflammatory cells of MSC treatment|Biophysical characteristics of the cell products and correlation with clinical outcome
1080,1,Incidence of any treatment-emergent adverse events (TE-AEs)|Clinical healing
1081,1,"Safety as assessed by mumber of participants with treatment-related adverse events assessed on MRI scan|Memory change tested on Ray Auditory Verbal Learning Task|Memory change tested on Benson Complex Figure Draw and Memory|Efficacy on PET scan reflected by change in fluorodeoxyglucose (FDG) PET scan|Change in Biomarkers including CSF amyloid, tau and neurofilament|Memory change tested on mini-mental status examination (MMSE)|Memory tested on Alzheimer's Disease Assessment Scale, Cognitive component (ADAS-Cog)"
1082,1,"Incidence of adverse event, and the level of the adverse event (AE) analyzed according to the Common Terminology Criteria for Adverse Event (CTCAE) (version 5.0)|Changes in eGFR|Changes in BUN|Changes in Creatinine"
1083,1,Changes of Total Cholesterol|Changes of Low-Density Lipoprotein Cholesterol|Changes of High-Density Lipoprotein Cholesterol|Changes of Triglyceride|Changes of Degree of Coronary Stenosis|Changes of Volume of Carotid Artery Plaques|Changes of Stability of Carotid Artery Plaques
1084,1,Incidence of Heart Failure|Change in Left Ventricular Function from base line|Cardiovascular Death|Composite outcome of cardiovascular death and heart failure incidence
1085,1,Overall response rate|Progression Free Survival (PFS)|Overall Survival (OS)|Evaluate Safety
1086,1,Percent of participants able to complete treatment|Incidence of adverse events|Overall Survival|Myelosuppression|Detection of P140K transduced BG and TMZ resistant cells|Enrichment of P140K-MGMT|Tumor Response using imaging|PFS using imaging
1087,1,Incidence of adverse events|American Spinal Injury Association (ASIA) impairment scale|Motor evoked potentials|Somatosensory evoked potentials|Electrical pain threshold perception|Handgrip Strength|Walking index for spinal cord injury (WISCI II)|Numerical scale for neuropathic pain assessment|Modified Ashworth scale for spasticity|Spinal Cord Independence Measure III (SCIM III)|World Health Organization Quality of life questionnaire (WHOQOL-BREF)|Psychological general well-being index (PGWBI)|Hospital Anxiety and Depression Scale (HADS)|Community Integration Questionaire (CIQ-IG)|AntiHLA antibodies in cerebrospinal fluid (CSF)|Detection of donor cells in CSF
1088,1,Compare the omics differences of blood samples between the experimental and control groups|Compare the omics differences of urine samples between the experimental and control groups|Compare the omics differences of alveolar lavage fluid samples between the experimental and control groups
1089,1,Adverse Event|Incidence of injection-related pain according to VAS scale (0-100mm)|Incidence of injection-related sinovitis according to effusion grading scale of knee joint|Pain reduction|Disability reduction|Percentage of responders
1090,1,Safety at one year evaluated as adverse events|Safety at five years evaluated as adverse events|Efficacy measured as change in C-peptide Area under the curve to a mixed mealtolerance test.|Insulin independency|Low insulin needs|Insulin needs|HbA1c|Time in target|Time in range|C-peptide|Change in peak C-peptide
1091,1,Infant DNA methylation status|Infant behavioral regulation|Infant proteomic patterns
1092,1,Safety (adverse events)|Efficacy: Autism Treatment Evaluation Checklist (ATEC)
1093,1,Safety (adverse events)|Efficacy: The Short Inflammatory Bowel Disease Questionnaire (SIBDQ)
1094,1,Incidence of major serious adverse events (SAEs)|Incidence of severe arrhythmia|Incidence of newly formed tumors|Changes in penal reactive antibodies (PRA)|Changes in donor specific antibodies (DSA)|Overall Left Ventricular systolic performance as assessed by MRI|Overall Left Ventricular systolic performance as assessed by PET/ECT Scan|Functional status by 6 minute walk test|Functional status by New York Heart Association (NYHA) Classification|Minnesota Living With Heart Failure Questionnaire (MLHFQ)
1095,1,The safety of GEM00220 will be assessed by monitoring adverse events|Maximum Feasible Tolerated Dose
1096,1,Change in maximal oxygen uptake|Change in time trial performance|Change in total hemoglobin mass
1097,1,"To evaluate the safety of EXO-CD24 in the treatment of patients with moderate or severe COVID-19 disease|To assess the efficacy of EXO-CD24 in the clinical improvement of COVID-19 disease|To evaluate respiratory failure (defined as the need for mechanical ventilation, ECMO, non-invasive ventilation, or high-flow oxygen devices) rate.|To evaluate the death rate.|To evaluate time to improvement and recovery (COVID-19 clinical severity score of 3 or lower).|To evaluate time from hospitalization to hospital discharge.|To assess the COVID-19-related symptoms using patient-reported outcome measure (PRO) score.|To evaluate the effect of EXO-CD24 on the respiratory rate.|To evaluate the effect of EXO-CD24 on the change in blood oxygen saturation (SpO2).|To evaluate the effect of EXO-CD24 on the proportion of patients requiring ventilation.|To evaluate the effect of EXO-CD24 on the level of inflammatory markers (eg, CRP, ferritin, fibrinogen, di-dimers, IL-6, LDH, lymphocytes count."
1098,1,"Complete wound closure at Week 18 already persisting for at least two weeks|Assessment of adverse event (AE) occurrence|Wound size change in percent at each post-baseline follow-up visit|Time to complete wound closure|Complete wound closures at each post-baseline follow-up visit|Duration of wound closure|Recurrence of the wound|Quality of wound healing (wound exudate) at each post-baseline follow-up visit|Quality of wound healing (granulation tissue together with epithelialization) at each post-baseline follow-up visit|Quality of wound healing (scar formation) at each post-baseline follow-up visit|Assessment of Quality of Life using the Wound-Quality of Life Questionnaire at V8, V11, V14|Pain assessment as per numerical rating scale on each post-baseline efficacy follow-up visit|Physical examination and vital signs at V14"
1099,1,pulse wave velocity
1100,1,Number and frequency of adverse events (AEs)|Changes of vital signs from 1 hour after infusion to day 28±3|Changes of complete blood count (CBC) from day 1 to day 28±3|Changes of blood biochemical from day 1 to day 28±3|Changes of coagulation function from day 1 to day 28±3|Routine urine analysis|Urine pregnancy test (female only)|Cardiac rate measured by twelve-lead electrocardiogram|Percentage of participants achieving ACR20|Percentage of participants achieving ACR50|Percentage of participants achieving ACR70|Change from baseline of the disease activity score based on DAS28-CRP|Change from baseline of the disease activity score based on DAS28-ESR|EULAR response|Change from baseline of the health assessment questionnaire(HAQ) score|Change from baseline of the simplified disease activity index (SDAI) score|Change from baseline of the clinical disease activity index (CDAI) score|Change from baseline of TNF-α level|Change from baseline of IL-6 level
1101,1,Changes in IIEF-5 Score after stem cells injection|Changes in Peak Systolic Velocity (PSV) after stem cells injection|Changes in End Diastolic Velocity after stem cells injection|Changes in Resistive Index after stem cells injection|Changes in Pulsatility Index after stem cells injection|Changes in E-selectin expression after stem cells injection|Changes in Vascular Endothelial Growth Factor (VEGF) expression after stem cells injection|Changes in Bcl-2 expression after stem cells injection|Changes in microRNA 16 expression after stem cells injection|Changes in microRNA 126 expression after stem cells injection|Changes in Hba1c after stem cells injection|Changes in Fasting Blood Glucose after stem cells injection|Changes in total cholesterol after stem cells injection|Changes in low-density lipoprotein (LDL) after stem cells injection|Changes in high-density lipoprotein (HDL) after stem cells injection|Changes in Triglycerides (TG) level after stem cells injection|Number of participants with side effects after intracavernosal injection
1102,1,Dose Limiting Toxicity(DLT)|International Myositis And Clinical Studies group-Total Improvement Score(IMACS-TIS)|Response rate of IMACS-TIS|Changes of Core Set Activity Measures(CSAM)|Changes of Cutaneous Dermatomyositis Disease Area and Severity Index (CDASI)|Changes of Peak Pruritus Numeral Rating Scale(PPNRS)
1103,1,28-day mortality|Hospital mortality|90-day mortality|Length of stay|Duration of infection
1104,1,X-ray evaluation immediately following surgery.|X-ray evaluation at 4 weeks following surgery|X-ray evaluation at 8 weeks following surgery.|X-ray evaluation at 12 weeks following surgery.|X-ray evaluation at 16 weeks following surgery.|Ultrasonography evaluation at 2 weeks|Ultrasonography evaluation at 4 weeks|Ultrasonography evaluation at 8 weeks|Ultrasonography evaluation at 12 weeks|Ultrasonography evaluation at 16 weeks|Functional evaluation at 8 weeks following surgery.|Functional evaluation at 12 weeks following surgery.|Functional evaluation at 16 weeks following surgery.
1105,1,Dose limiting toxicities (DLTs)|Treatment-emergent adverse events (TEAEs)|Serious adverse events (SAEs)|Deaths|Laboratory abnormalities (grade 3 or higher per Common Terminology Criteria for Adverse Events [CTCAE])|Concentrations of REGN5093-M114 in serum|Total monoclonal antibodies (REGN5093- M114 plus unconjugated antibody) in serum|Concentrations of M24 in plasma|Objective response rate (ORR)|ORR|TEAEs|SAEs|Laboratory abnormalities (grade 3 or higher per CTCAE)|Duration of response (DOR)|Disease control rate (DCR)|Time to tumor response (TTR)|Progression free survival (PFS)|Overall survival (OS)|Immunogenicity as measured by anti-drug antibody (ADA) to REGN5093-M114
1106,1,Safety (adverse events)|Efficacy: the 28-joint disease activity score (DAS 28)|Efficacy: visual analog scale (VAS)
1107,1,Change in 6-Minute Walk Distance (6MWD) at Day 60|Change in 6MWD at Day 30|Relief of symptoms on Day 30 and Day 60|Change in Pulmonary Function|Change in oxygenation|Change in biomarker levels
1108,1,Left ventricular ejection fraction|Mortality|NT-proBNP|Left ventricular end diastolic diameter|6 minutes walking distance|Minnesota Living with Heart Failure Questionnaire（MLHFQ）|PET/CMR
1109,1,EV-Score|Survival significance of EV-Score
1110,1,"1. Changes in the total score MDS-UPDRS Part II.|2. Incidence of treatment-emergent Adverse Event (TEAEs).|3. Incidence of treatment-emergent Serious Adverse Events (SAEs).|4. AEs of special interest (serious or non-serious) - thromboembolic events.|5. AEs of special interest (serious or non-serious) - thromboembolism of the extremities|6. AEs of special interest (serious or non-serious) - infections|7. AEs of special interest (serious or non-serious) - hypersensitivities.|8. Laboratory value Complete Blood Count (CBC)|9. Laboratory values Chemistry Metabolic Panel (CMP)|10. Laboratory values Coagulation Panel; Prothrombin time, Partial Prothrombin time, and INtern|11. Vital signs. - Respiratory Rate (breaths per minute)|12. Vital signs. - Heart Rate (beats per minute)|13. Vital signs. - Body Temperature (Fahrenheit )|14. Vital signs. - Blood Pressure (mmHg)|15. Weight in lb.|16. Physical examination results. General|17. Physical examination results. Body Systems.|18. Changes in Movement Disorder Society Unified Parkinson's Disease Rating Scale -UPDRS Part I.|19. Changes in the total score Movement Disorder Society Unified Parkinson's Disease Rating Scale -UPDRS Part II and Part III.|20. Changes in Movement Disorder Society Unified Parkinson's Disease Rating Scale MDS-UPDRS Part III.|21. Changes in Movement Disorder Society Unified Parkinson's Disease Rating Scale MDS-UPDRS Part IV.|22. Changes in Short Form 36 Health Survey Questionnaire (SF-36).|23. Changes in Parkinson's disease fatigue scale (PFS-16)|24. Changes in Parkinson's disease Questionnaire (PDQ-39).|25. Changes in Visual Analog Scale for Pain.|26. Changes in Visual Analog Scale for Muscle spasms.|27. Changes in Dosage of medications taken to treat Parkinson's disease."
1111,1,oxygenation index|The value of arterial blood cLAC|The content of IL-1β|The content of IL-6|The content of TGF-α|The content of HMGB1|The content of IL-10|The content of B-type natriuretic peptide (BNP)|electrocardiogram|The average length of stay in hospital|The visual analog scale（VAS）score|The hospital for special surgery (HSS) Knee Score|The New York Heart Association (NYHA) Functional Classification|The 36-Item Short Form Survey (SF-36)|The Hamilton Anxiety Scale|The incidence of allergic reaction|The body temperature|The pulse rate|The respiration rate|The blood pressure|The content of C-reactive protein (CRP)
1112,1,Assessment of changes in bone density and quantity|Assessment of bone quantity|Presence of bone formation markers
1113,1,"Respiratory situation at 24 hours, 3 and 7 days based on the PaO2 / FiO2 ratio that graduates respiratory distress into mild (200-300), moderate (100-200) and severe (<100).|Immune hyperactivation situation: LDH, D-dimer and ferritin value at 24 hours, 3 and 7 days. Each one is a quantitative variable.|Mechanical ventilation: qualitative variable (yes or no)|Combined variable of variables i, iii and in-hospital mortality (this is understood to be: respiratory deterioration or need for mechanical ventilation or in-hospital death)|Number of patients admitted to the ICU|Time to admission to the ICU (from the beginning of the trial and from the beginning of the picture)|Time to the start of mechanical ventilation (from the start of the trial and from the start of the picture)|Time of admission to ICU|Total admission time|In-hospital mortality|Mortality at 30 and 60 days|Respiratory situation at 30 and 60 days according to pulse oximetric O2 saturation, respiratory rate and presence of dyspnea and NYHA grade.|Documented nosocomial infections"
1114,1,Safety (adverse events)|Efficacy: Kurtzke Expanded Disability Status Scale (EDSS)
1115,1,Safety (adverse events)|Efficacy: the level of A1C|Efficacy: the level of C-Peptide|Efficacy: Insulin dose reduction
1116,1,Safety (adverse events)|Efficacy: revised ALS functional rating scale (ALSFRS-R)
1117,1,28-day mortality|Ventilator days|ICU stay
1118,1,"Number of participants with dose limiting toxicities (DLTs) in Dose escalation (Part 1A and 1B)|Number of participants with adverse events|Number of participants with clinically significant laboratory abnormalities|Objective response rate in the dose expansion (Part 2) arms|Objective response rate in dose escalation (Part 1A and 1B)|Maximum concentration (Cmax) of viral load titer of PF-07263689|Time to maximal plasma concentration (Tmax) of viral load titer after PF-07263689 dosing|Area under the Curve from time 0 to the last measurable timepoint (AUClast) of viral load titer after PF-07263689 dosing|Viral titers for vector shedding of PF-07263689 in saliva, urine, injection site swab, and swab from any spontaneous skin pox lesion|Sasanlimab trough concentration (Part 1B and 2)|Incidence and titers of anti-IL2 antibodies and anti-drug antibody (ADA) against PF-07263689 and sasanlimab as applicable|Anti-tumor activity (Part 2)|Overall survival (Part 2)"
1119,1,Pain Change|Functional disability index evaluation|Disability evolution|Quality of life evolution|Drug consumption of rescue painkillers medication|Measurement of pain|Employment and work status assessment|Structural assessment|Evaluation of costs|Body Mass Index evaluation|Haematological evaluation: safety parameter|Coagulation status: safety parameter|Metabolic functions: safety parameter|Inflammation: safety parameter|Urinalysis|Spine examination|Specific Adverse Events Evaluation
1120,1,Safety: Incidence of adverse events improvement) in one or more areas of ailments related to PTHS|Safety: Incidence of serious adverse events|Change in motor function in individuals with PTHS|Change in communication abilities in individuals with PTHS.|Change in sleep habits|Change in gastrointestinal health|Change in breath holding spells|Change in cognition|Change in adaptive function|Change in autistic features|Change in parent assessment of quality of life|Change in global clinical status
1121,1,Duration of hospital stay|Post-administration clinical and radiological improvement|Adverse Event and Serious Adverse Event Evaluation
1122,1,Safety (adverse events)|Efficacy: Single Assessment Numeric Evaluation Score (SANE)
1123,1,Safety (adverse events)|Efficacy: Forced vital capacity (FVC)|Efficacy: Pulmonary function test
1124,1,Severity and incidence of adverse events (SIAE) on the day of treatment|3rd day SIAE|1 week SIAE|1 month SIAE|3 months SIAE|6 months SIAE|12 months SIAE|24 months SIAE|RQLQ score|VAS score|Detection of serum inflammatory factors|Detection of inflammatory factors in nasal secretions|Nasal function test|Nasal endoscopy
1125,1,Disease-related clinical reactions|PFS
